frac, phi, Eg, dge, Ed, s, Ce, ge, Y
0.241441,0.5,107.4701,0.6997308356,7000,1,0.800731,2.83887,1
0.237669,0.55,90.9583,0.6982257584,10000,0.95,0.815293,2.86839,1
0.212727,0.5,120.4575,0.6576137789,5000,0.75,0.908964,2.83421,1
0.238492,0.5,115.1234,0.6910972702,10000,1,0.806767,2.84342,1
0.213005,0.5,120.9865,0.6607728842,5000,0.75,0.910465,2.82819,1
0.245325,0.55,91.6267,0.7003434434,10000,1,0.794056,2.87054,1
0.224188,0.45,136.147,0.6629245077,10000,0.9,0.843714,2.83098,1
0.209537,0.45,139.0823,0.6280086419,5000,0.75,0.897304,2.83894,1
0.214138,0.45,142.4767,0.6543125958,5000,0.8,0.887667,2.81702,1
0.231892,0.5,117.9971,0.6898714414,7000,0.95,0.831412,2.83469,1
0.21866,0.5,110.4335,0.6626020267,5000,0.8,0.880283,2.84483,1
0.238412,0.5,114.997,0.7216448883,5000,1,0.817571,2.81174,1
0.233864,0.5,117.3535,0.6821976519,10000,0.95,0.827306,2.84323,1
0.215837,0.45,132.2431,0.6290621814,5000,0.8,0.872403,2.8498,1
0.220701,0.5,122.4117,0.6296941999,10000,0.85,0.858262,2.87979,1
0.227783,0.45,149.3055,0.653492696,10000,0.95,0.829737,2.83839,1
0.242228,0.5,100.8321,0.686275056,10000,1,0.787429,2.86131,1
0.227861,0.5,121.2961,0.6482249378,10000,0.9,0.841917,2.86869,1
0.23797,0.55,97.2152,0.7010212388,7000,0.95,0.824819,2.85554,1
0.213427,0.45,144.8381,0.6487639132,7000,0.8,0.886541,2.82404,1
0.1931,0.35,165.3858,0.5739575503,3000,0.5,0.947011,2.8071,1
0.23145,0.5,118.7222,0.7111880482,5000,0.95,0.840027,2.81123,1
0.228135,0.45,146.7341,0.6551938244,10000,0.95,0.828444,2.83924,1
0.207823,0.45,140.5188,0.6167538635,10000,0.75,0.893652,2.85233,1
0.225272,0.45,128.0768,0.6718919554,5000,0.9,0.841834,2.82331,1
0.235772,0.45,138.0439,0.6827997579,5000,1,0.811562,2.81987,1
0.222446,0.45,151.0471,0.6518513979,10000,0.9,0.850958,2.83406,1
0.221539,0.5,116.2982,0.6825654786,5000,0.85,0.871334,2.82736,1
0.238584,0.5,122.2133,0.6862077971,10000,1,0.812011,2.84358,1
0.23869,0.5,114.328,0.7168402997,5000,1,0.815441,2.81659,1
0.21443,0.45,134.5186,0.6161819056,10000,0.8,0.869042,2.86488,1
0.233975,0.45,157.4242,0.6555729863,10000,1,0.814604,2.84023,1
0.229705,0.45,144.7928,0.6764875281,7000,0.95,0.834373,2.81715,1
0.212031,0.45,156.5679,0.634925966,10000,0.8,0.889288,2.83293,1
0.223472,0.45,143.5971,0.6363130482,7000,0.9,0.841279,2.85171,1
0.233792,0.5,116.9284,0.6919635037,7000,0.95,0.830632,2.834,1
0.189763,0.35,199.9729,0.537227752,7000,0.5,0.945377,2.84217,1
0.235548,0.45,143.151,0.6790808285,7000,1,0.81337,2.82002,1
0.200742,0.45,146.7129,0.5888970719,7000,0.65,0.927874,2.86088,1
0.230329,0.45,136.4901,0.6944902758,5000,0.95,0.834975,2.80339,1
0.229877,0.45,142.3838,0.66726791,10000,0.95,0.829118,2.82752,1
0.221876,0.55,86.6894,0.6603355935,7000,0.8,0.867116,2.88657,1
0.205252,0.4,176.0657,0.6061010178,5000,0.7,0.911719,2.82034,1
0.196405,0.4,164.7812,0.5841638274,7000,0.65,0.918609,2.84589,1
0.212955,0.45,137.3302,0.6237176148,7000,0.8,0.873618,2.85455,1
0.226472,0.5,121.6085,0.6546381843,10000,0.9,0.843766,2.86179,1
0.240728,0.5,109.6763,0.6772638384,10000,1,0.795038,2.86151,1
0.200916,0.45,156.9935,0.5860111145,10000,0.65,0.931155,2.86077,1
0.191051,0.35,192.3798,0.5485147305,5000,0.5,0.946668,2.8307,1
0.213369,0.4,169.5532,0.6350980831,5000,0.8,0.880573,2.80941,1
0.23725,0.5,119.3689,0.6897343005,10000,1,0.810593,2.84303,1
0.233276,0.45,131.7053,0.6635882199,10000,1,0.798888,2.84464,1
0.23211,0.5,119.0472,0.6840243149,7000,0.95,0.830602,2.83991,1
0.241139,0.55,85.3304,0.6850579195,10000,0.95,0.801888,2.88659,1
0.206877,0.5,113.7631,0.6382019936,5000,0.7,0.918395,2.85161,1
0.221108,0.45,135.261,0.6625621884,5000,0.85,0.864479,2.82085,1
0.241287,0.5,110.407,0.6930440034,7000,1,0.802301,2.84443,1
0.196685,0.4,184.0529,0.5888227153,5000,0.6,0.942472,2.82097,1
0.19157,0.35,166.8144,0.5692931755,3000,0.5,0.947013,2.81054,1
0.238274,0.55,90.8744,0.6934008136,7000,0.95,0.814118,2.87052,1
0.251168,0.6,75.2498,0.7500776879,5000,1,0.796127,2.85498,1
0.216952,0.45,162.8571,0.6323121379,10000,0.85,0.872015,2.84119,1
0.236728,0.5,125.0893,0.6917171154,10000,1,0.816785,2.83463,1
0.201284,0.4,170.2565,0.578562044,7000,0.65,0.918787,2.8459,1
0.2343,0.5,114.7517,0.675937028,7000,0.95,0.823035,2.85094,1
0.230725,0.45,126.3064,0.6598273753,7000,0.95,0.814146,2.84564,1
0.237321,0.5,120.3079,0.7073582261,5000,1,0.818498,2.82078,1
0.234916,0.45,140.6843,0.6893815074,7000,1,0.815161,2.81216,1
0.236198,0.45,128.5959,0.6723535857,10000,1,0.7982,2.83849,1
0.228781,0.5,115.9119,0.6766709933,7000,0.9,0.846555,2.84245,1
0.241892,0.5,112.0597,0.684946961,10000,1,0.800453,2.85097,1
0.234019,0.45,149.2097,0.6604962299,10000,1,0.810597,2.84077,1
0.216197,0.45,127.3625,0.6823512544,3000,0.8,0.887544,2.79271,1
0.230483,0.45,131.7031,0.6547964043,10000,0.95,0.816749,2.84633,1
0.233096,0.5,117.3421,0.7069215354,5000,0.95,0.836464,2.81768,1
0.22709,0.5,118.045,0.6663141023,10000,0.9,0.844473,2.85231,1
0.236982,0.5,117.362,0.713428439,5000,1,0.817238,2.81686,1
0.197706,0.4,174.6085,0.5807156359,7000,0.6,0.936721,2.83377,1
0.230347,0.5,124.9753,0.6824895102,10000,0.95,0.83503,2.8404,1
0.238353,0.5,119.7179,0.694107561,10000,1,0.812217,2.83731,1
0.239136,0.5,121.1772,0.6759440455,10000,1,0.806989,2.85358,1
0.219564,0.5,118.5023,0.6489499097,10000,0.85,0.86125,2.86471,1
0.223832,0.45,142.4573,0.6706322897,5000,0.9,0.853031,2.81536,1
0.240969,0.5,104.6869,0.6979787893,5000,1,0.79761,2.84198,1
0.196023,0.4,193.659,0.5687901221,7000,0.6,0.939787,2.84049,1
0.238371,0.55,94.8336,0.6975659891,10000,0.95,0.820375,2.86261,1
0.237441,0.5,118.9982,0.7195466558,5000,1,0.821423,2.80889,1
0.230122,0.5,104.5862,0.651155508,10000,0.9,0.825819,2.8785,1
0.235278,0.45,134.3888,0.7144621043,5000,1,0.819692,2.7902,1
0.226342,0.5,124.64,0.6937260649,5000,0.9,0.860957,2.81749,1
0.227096,0.5,119.9666,0.6687246874,10000,0.9,0.847345,2.84782,1
0.212373,0.45,155.0904,0.6272359655,10000,0.8,0.885749,2.8413,1
0.21761,0.45,136.0695,0.6544466401,7000,0.85,0.862682,2.82939,1
0.198442,0.45,143.2018,0.5922559374,7000,0.65,0.927549,2.85959,1
0.19053,0.35,199.9472,0.5356787955,7000,0.5,0.945027,2.8445,1
0.240787,0.55,89.0393,0.6889555503,10000,0.95,0.808791,2.87697,1
0.191327,0.45,129.1121,0.5634289644,5000,0.5,0.966187,2.86498,1
0.238318,0.5,118.2364,0.7137309816,7000,1,0.817357,2.81729,1
0.218522,0.5,111.5985,0.6646794287,5000,0.8,0.882636,2.84085,1
0.228342,0.5,114.7857,0.6638152066,7000,0.9,0.840888,2.85612,1
